phenotype_id,fact_concept
30,RXNORM:1000056
30,RXNORM:1000060
30,RXNORM:1000062
30,RXNORM:1000066
30,RXNORM:1000068
30,RXNORM:1000072
30,RXNORM:1000074
30,RXNORM:1000078
30,RXNORM:1000081
30,RXNORM:1000093
30,RXNORM:1000099
30,RXNORM:1000101
30,RXNORM:102550
30,RXNORM:102551
30,RXNORM:104690
30,RXNORM:104691
30,RXNORM:104692
30,RXNORM:104719
30,RXNORM:104720
30,RXNORM:104822
30,RXNORM:104823
30,RXNORM:104824
30,RXNORM:104825
30,RXNORM:104826
30,RXNORM:104827
30,RXNORM:104829
30,RXNORM:104830
30,RXNORM:104836
30,RXNORM:104838
30,RXNORM:104849
30,RXNORM:104850
30,RXNORM:106834
30,RXNORM:108886
30,RXNORM:1091135
30,RXNORM:1091139
30,RXNORM:1091141
30,RXNORM:1091143
30,RXNORM:1091144
30,RXNORM:1091147
30,RXNORM:1091149
30,RXNORM:1091151
30,RXNORM:1091153
30,RXNORM:1091157
30,RXNORM:1091159
30,RXNORM:1091163
30,RXNORM:1091165
30,RXNORM:1091167
30,RXNORM:1091168
30,RXNORM:1091172
30,RXNORM:1091174
30,RXNORM:1091178
30,RXNORM:1091180
30,RXNORM:1091182
30,RXNORM:1091183
30,RXNORM:1091187
30,RXNORM:1091189
30,RXNORM:1091193
30,RXNORM:1091195
30,RXNORM:1091197
30,RXNORM:1091198
30,RXNORM:1091204
30,RXNORM:1091206
30,RXNORM:1091212
30,RXNORM:1091214
30,RXNORM:1091220
30,RXNORM:1091222
30,RXNORM:1091226
30,RXNORM:1091229
30,RXNORM:1091324
30,RXNORM:1091343
30,RXNORM:1091377
30,RXNORM:1091378
30,RXNORM:1091379
30,RXNORM:1091391
30,RXNORM:1091394
30,RXNORM:1091395
30,RXNORM:1091487
30,RXNORM:1091488
30,RXNORM:1091495
30,RXNORM:1091496
30,RXNORM:1091498
30,RXNORM:1091500
30,RXNORM:1098651
30,RXNORM:1098668
30,RXNORM:1098672
30,RXNORM:1098676
30,RXNORM:1098680
30,RXNORM:1099290
30,RXNORM:1099294
30,RXNORM:1099298
30,RXNORM:1099302
30,RXNORM:1099306
30,RXNORM:1099318
30,RXNORM:1099398
30,RXNORM:1100363
30,RXNORM:1100366
30,RXNORM:1100384
30,RXNORM:1114481
30,RXNORM:1114483
30,RXNORM:1114487
30,RXNORM:1114489
30,RXNORM:1298859
30,RXNORM:1298863
30,RXNORM:1298872
30,RXNORM:1312589
30,RXNORM:1312591
30,RXNORM:1359580
30,RXNORM:1359643
30,RXNORM:1359812
30,RXNORM:1360113
30,RXNORM:1360114
30,RXNORM:1360320
30,RXNORM:1360441
30,RXNORM:141927
30,RXNORM:141928
30,RXNORM:141945
30,RXNORM:141946
30,RXNORM:141947
30,RXNORM:141956
30,RXNORM:1430128
30,RXNORM:151256
30,RXNORM:151257
30,RXNORM:151261
30,RXNORM:151281
30,RXNORM:151282
30,RXNORM:152723
30,RXNORM:152724
30,RXNORM:153503
30,RXNORM:1551474
30,RXNORM:1600909
30,RXNORM:1600910
30,RXNORM:1648180
30,RXNORM:1648181
30,RXNORM:1648185
